Listing...
base-files/noble-updates 13ubuntu10.3 amd64 [upgradable from: 13ubuntu10.2]
coreutils/noble-updates 9.4-3ubuntu6.1 amd64 [upgradable from: 9.4-3ubuntu6]
dpkg-dev/noble-updates,noble-security 1.22.6ubuntu6.5 all [upgradable from: 1.22.6ubuntu6.1]
dpkg/noble-updates,noble-security 1.22.6ubuntu6.5 amd64 [upgradable from: 1.22.6ubuntu6.1]
iproute2/noble-updates 6.1.0-1ubuntu6.2 amd64 [upgradable from: 6.1.0-1ubuntu6]
jq/noble-updates,noble-security 1.7.1-3ubuntu0.24.04.1 amd64 [upgradable from: 1.7.1-3build1]
libc-bin/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc-dev-bin/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6-dbg/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6-dev/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6-i386/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6/noble-updates,noble-security 2.39-0ubuntu8.6 amd64 [upgradable from: 2.39-0ubuntu8.4]
libdpkg-perl/noble-updates,noble-security 1.22.6ubuntu6.5 all [upgradable from: 1.22.6ubuntu6.1]
libgnutls-dane0t64/noble-updates,noble-security 3.8.3-1.1ubuntu3.4 amd64 [upgradable from: 3.8.3-1.1ubuntu3.3]
libgnutls-openssl27t64/noble-updates,noble-security 3.8.3-1.1ubuntu3.4 amd64 [upgradable from: 3.8.3-1.1ubuntu3.3]
libgnutls28-dev/noble-updates,noble-security 3.8.3-1.1ubuntu3.4 amd64 [upgradable from: 3.8.3-1.1ubuntu3.3]
libgnutls30t64/noble-updates,noble-security 3.8.3-1.1ubuntu3.4 amd64 [upgradable from: 3.8.3-1.1ubuntu3.3]
libjq1/noble-updates,noble-security 1.7.1-3ubuntu0.24.04.1 amd64 [upgradable from: 1.7.1-3build1]
libmysqlclient-dev/noble-updates 8.0.43-0ubuntu0.24.04.2 amd64 [upgradable from: 8.0.42-0ubuntu0.24.04.1]
libmysqlclient21/noble-updates 8.0.43-0ubuntu0.24.04.2 amd64 [upgradable from: 8.0.42-0ubuntu0.24.04.1]
libpam-modules-bin/noble-updates,noble-security 1.5.3-5ubuntu5.5 amd64 [upgradable from: 1.5.3-5ubuntu5.4]
libpam-modules/noble-updates,noble-security 1.5.3-5ubuntu5.5 amd64 [upgradable from: 1.5.3-5ubuntu5.4]
libpam-runtime/noble-updates,noble-security 1.5.3-5ubuntu5.5 all [upgradable from: 1.5.3-5ubuntu5.4]
libpam-systemd/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
libpam0g/noble-updates,noble-security 1.5.3-5ubuntu5.5 amd64 [upgradable from: 1.5.3-5ubuntu5.4]
libperl5.38t64/noble-updates,noble-security 5.38.2-3.2ubuntu0.2 amd64 [upgradable from: 5.38.2-3.2ubuntu0.1]
libpq-dev/noble-updates,noble-security 16.10-0ubuntu0.24.04.1 amd64 [upgradable from: 16.9-0ubuntu0.24.04.1]
libpq5/noble-updates,noble-security 16.10-0ubuntu0.24.04.1 amd64 [upgradable from: 16.9-0ubuntu0.24.04.1]
libpython3.12-dev/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
libpython3.12-minimal/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
libpython3.12-stdlib/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
libpython3.12t64/noble-updates,noble-security 3.12.3-1ubuntu0.8 amd64 [upgradable from: 3.12.3-1ubuntu0.7]
libsqlite3-0/noble-updates,noble-security 3.45.1-1ubuntu2.5 amd64 [upgradable from: 3.45.1-1ubuntu2.3]
libsqlite3-dev/noble-updates,noble-security 3.45.1-1ubuntu2.5 amd64 [upgradable from: 3.45.1-1ubuntu2.3]
libsystemd-shared/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
libsystemd0/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
libtiff6/noble-updates,noble-security 4.5.1+git230720-4ubuntu2.4 amd64 [upgradable from: 4.5.1+git230720-4ubuntu2.2]
libudev1/noble-updates 255.4-1ubuntu8.10 amd64 [upgradable from: 255.4-1ubuntu8.8]
libunbound8/noble-updates,noble-security 1.19.2-1ubuntu3.5 amd64 [upgradable from: 1.19.2-1ubuntu3.4]
libxml2-dev/noble-updates,noble-security 2.9.14+dfsg-1.3ubuntu3.5 amd64 [upgradable from: 2.9.14+dfsg-1.3ubuntu3.3]
libxml2/noble-updates,noble-security 2.9.14+dfsg-1.3ubuntu3.5 amd64 [upgradable from: 2.9.14+dfsg-1.3ubuntu3.3]
linux-libc-dev/noble-updates,noble-security 6.8.0-84.84 amd64 [upgradable from: 6.8.0-63.66]
